状态名称: high_activation
状态描述: 高激活状态
状态效果: 重要节点突出显示
节点数量: 82
可见节点: 82.0
隐藏节点: 0.0
平均大小: 5.53
平均颜色: 12.63

节点详情:
  1. 右前额叶            | 大小: 5.83 | 颜色: 14.17 | 可见: 1
 49. 右直回             | 大小: 7.19 | 颜色: 20.95 | 可见: 1
 50. 左直回             | 大小: 5.58 | 颜色: 12.89 | 可见: 1
 51. 右额内侧回           | 大小: 3.28 | 颜色: 1.39 | 可见: 1
 52. 左额内侧回           | 大小: 4.56 | 颜色: 7.81 | 可见: 1
 53. 右额上回            | 大小: 6.80 | 颜色: 19.02 | 可见: 1
 54. 左额上回            | 大小: 4.36 | 颜色: 6.79 | 可见: 1
 55. 右额中回            | 大小: 3.22 | 颜色: 1.10 | 可见: 1
 56. 左额中回            | 大小: 3.73 | 颜色: 3.65 | 可见: 1
 57. 右额下回            | 大小: 4.94 | 颜色: 9.69 | 可见: 1
 58. 左额下回            | 大小: 5.25 | 颜色: 11.24 | 可见: 1
 59. 右中央旁小叶          | 大小: 7.69 | 颜色: 23.46 | 可见: 1
 60. 左中央旁小叶          | 大小: 4.86 | 颜色: 9.32 | 可见: 1
 61. 右辅助运动区          | 大小: 7.72 | 颜色: 23.61 | 可见: 1
 62. 左辅助运动区          | 大小: 7.93 | 颜色: 24.66 | 可见: 1
 63. 右丘脑             | 大小: 3.85 | 颜色: 4.25 | 可见: 1
 64. 左丘脑             | 大小: 6.82 | 颜色: 19.11 | 可见: 1
 65. 右杏仁核            | 大小: 3.09 | 颜色: 0.47 | 可见: 1
 66. 左杏仁核            | 大小: 6.72 | 颜色: 18.62 | 可见: 1
 67. 右海马             | 大小: 5.39 | 颜色: 11.95 | 可见: 1
 68. 左海马             | 大小: 5.79 | 颜色: 13.93 | 可见: 1
 69. 右苍白球            | 大小: 5.54 | 颜色: 12.68 | 可见: 1
 70. 左苍白球            | 大小: 3.63 | 颜色: 3.14 | 可见: 1
 71. 右壳核             | 大小: 4.54 | 颜色: 7.70 | 可见: 1
 72. 左壳核             | 大小: 7.10 | 颜色: 20.50 | 可见: 1
 73. 右尾状核            | 大小: 6.13 | 颜色: 15.65 | 可见: 1
 74. 左尾状核            | 大小: 6.78 | 颜色: 18.90 | 可见: 1
 75. 右小脑             | 大小: 6.45 | 颜色: 17.23 | 可见: 1
 76. 左小脑             | 大小: 7.04 | 颜色: 20.19 | 可见: 1
 77. 右小脑脚            | 大小: 7.30 | 颜色: 21.50 | 可见: 1
 78. 左小脑脚            | 大小: 7.31 | 颜色: 21.53 | 可见: 1
 79. 右小脑半球           | 大小: 4.71 | 颜色: 8.55 | 可见: 1
 80. 左小脑半球           | 大小: 7.81 | 颜色: 24.03 | 可见: 1
 81. 右脑干             | 大小: 3.41 | 颜色: 2.03 | 可见: 1
 82. 左脑干             | 大小: 4.63 | 颜色: 8.16 | 可见: 1
